Sentence #,Word,Tag
,Angoulême,B-geoE
Sentence: 109,Ou,O
,se,O
,trouve,O
,Villeneuve-d'Ascq,B-geoE
Sentence: 110,Ou,O
,se,O
,trouve,O
,Bandol,B-geoE
Sentence: 111,Ou,O
,se,O
,trouve,O
,Istres,B-geoE
Sentence: 112,Ou,O
,se,O
,trouve,O
,Mulhouse,B-geoE
Sentence: 113,Ou,O
,se,O
,trouve,O
,Brest,B-geoE
Sentence: 114,Ou,O
,se,O
,trouve,O
,Vannes,B-geoE
Sentence: 115,Ou,O
,se,O
,trouve,O
,Valence,B-geoE
Sentence: 116,Ou,O
,se,O
,trouve,O
,Aurillac,B-geoE
Sentence: 117,Ou,O
,se,O
,trouve,O
,Champigny-sur-Marne,B-geoE
Sentence: 118,Ou,O
,se,O
,trouve,O
,Ibiza,B-geoE
Sentence: 119,Ou,O
,se,O
,trouve,O
,Asnières-sur-Seine,B-geoE
Sentence: 120,Ou,O
,se,O
,trouve,O
,Belfort,B-geoE
Sentence: 121,Ou,O
,se,O
,trouve,O
,Grenoble,B-geoE
Sentence: 122,Ou,O
,se,O
,trouve,O
,Lyon,B-geoE
Sentence: 123,Ou,O
,se,O
,trouve,O
,Caen,B-geoE
Sentence: 124,Ou,O
,se,O
,trouve,O
,Thonon-les-Bains,B-geoE
Sentence: 125,Ou,O
,se,O
,trouve,O
,Saint-Denis,B-geoE
Sentence: 126,Ou,O
,se,O
,trouve,O
,La Rochelle,B-geoE
Sentence: 127,Ou,O
,se,O
,trouve,O
,Tournefeuille,B-geoE
Sentence: 128,Ou,O
,se,O
,trouve,O
,Rouen,B-geoE
Sentence: 129,Ou,O
,se,O
,trouve,O
,Delhi,B-geoE
Sentence: 130,Ou,O
,se,O
,trouve,O
,Saint-Paul,B-geoE
Sentence: 131,Ou,O
,se,O
,trouve,O
,Arles,B-geoE
Sentence: 132,Ou,O
,se,O
,trouve,O
,Rouen,B-geoE
Sentence: 133,Ou,O
,se,O
,trouve,O
,Le Havre,B-geoE
Sentence: 134,Ou,O
,se,O
,trouve,O
,Asnières-sur-Seine,B-geoE
Sentence: 135,Ou,O
,se,O
,trouve,O
,La Ciotat,B-geoE
Sentence: 136,Ou,O
,se,O
,trouve,O
,Toulouse,B-geoE
Sentence: 137,Ou,O
,se,O
,trouve,O
,Troyes,B-geoE
Sentence: 138,Ou,O
,se,O
,trouve,O
,Allonnes,B-geoE
Sentence: 139,Ou,O
,se,O
,trouve,O
,Saint-Etienne,B-geoE
Sentence: 140,Ou,O
,se,O
,trouve,O
,Rennes,B-geoE
Sentence: 141,Ou,O
,se,O
,trouve,O
,Saint-Paul,B-geoE
Sentence: 142,Ou,O
,se,O
,trouve,O
,Tourcoing,B-geoE
Sentence: 143,Ou,O
,se,O
,trouve,O
,Ajaccio,B-geoE
Sentence: 144,Ou,O
,se,O
,trouve,O
,Shanghai,B-geoE
Sentence: 145,Ou,O
,se,O
,trouve,O
,Rouen,B-geoE
Sentence: 146,Ou,O
,se,O
,trouve,O
,Abbeville,B-geoE
Sentence: 147,Ou,O
,se,O
,trouve,O
,Montpellier,B-geoE
Sentence: 148,Ou,O
,se,O
,trouve,O
,Beziers,B-geoE
Sentence: 149,Ou,O
,se,O
,trouve,O
,Moulins,B-geoE
Sentence: 150,Ou,O
,se,O
,trouve,O
,Orléans,B-geoE
Sentence: 151,Ou,O
,se,O
,trouve,O
,Alpes-Maritimes,B-geoE
Sentence: 152,Ou,O
,se,O
,trouve,O
,Ibiza,B-geoE
Sentence: 153,Ou,O
,se,O
,trouve,O
,Montreuil,B-geoE
Sentence: 154,Ou,O
,se,O
,trouve,O
,Blois,B-geoE
Sentence: 155,Ou,O
,se,O
,trouve,O
,Annemasse,B-geoE
Sentence: 156,Ou,O
,se,O
,trouve,O
,Bayonne,B-geoE
Sentence: 157,Ou,O
,se,O
,trouve,O
,Toulouse,B-geoE
Sentence: 158,Ou,O
,se,O
,trouve,O
,Aix-en-Provence,B-geoE
Sentence: 159,Ou,O
,se,O
,trouve,O
,Amiens,B-geoE
Sentence: 160,Ou,O
,se,O
,trouve,O
,Meaux,B-geoE
Sentence: 161,Ou,O
,se,O
,trouve,O
,Saint-Paul,B-geoE
Sentence: 162,Ou,O
,se,O
,trouve,O
,Annemasse,B-geoE
Sentence: 163,Ou,O
,se,O
,trouve,O
,Moscou,B-geoE
Sentence: 164,Ou,O
,se,O
,trouve,O
,Yerres,B-geoE
Sentence: 165,Ou,O
,se,O
,trouve,O
,Rouen,B-geoE
Sentence: 166,Ou,O
,se,O
,trouve,O
,Arras,B-geoE
Sentence: 167,Ou,O
,se,O
,trouve,O
,Stockholm,B-geoE
Sentence: 168,Ou,O
,se,O
,trouve,O
,Montpellier,B-geoE
Sentence: 169,Ou,O
,se,O
,trouve,O
,Béthune,B-geoE
Sentence: 170,Ou,O
,se,O
,trouve,O
,Grenoble,B-geoE
Sentence: 171,Ou,O
,se,O
,trouve,O
,Issy-les-Moulineaux,B-geoE
Sentence: 172,Ou,O
,se,O
,trouve,O
,Metz,B-geoE
Sentence: 173,Ou,O
,se,O
,trouve,O
,Rambouillet,B-geoE
Sentence: 174,Ou,O
,se,O
,trouve,O
,Athenes,B-geoE
Sentence: 175,Ou,O
,se,O
,trouve,O
,Madrid,B-geoE
Sentence: 176,Ou,O
,se,O
,trouve,O
,Zurich,B-geoE
Sentence: 177,Ou,O
,se,O
,trouve,O
,Amiens,B-geoE
Sentence: 178,Ou,O
,se,O
,trouve,O
,Reims,B-geoE
Sentence: 179,Ou,O
,se,O
,trouve,O
,Tokyo,B-geoE
Sentence: 180,Ou,O
,se,O
,trouve,O
,Berlin,B-geoE
Sentence: 181,Ou,O
,se,O
,trouve,O
,Oslo,B-geoE
Sentence: 182,Ou,O
,se,O
,trouve,O
,Rambouillet,B-geoE
Sentence: 183,Ou,O
,se,O
,trouve,O
,Mérignac,B-geoE
Sentence: 184,Ou,O
,se,O
,trouve,O
,Issy-les-Moulineaux,B-geoE
Sentence: 185,Ou,O
,se,O
,trouve,O
,Béthune,B-geoE
Sentence: 186,Ou,O
,se,O
,trouve,O
,Issy-les-Moulineaux,B-geoE
Sentence: 187,Ou,O
,se,O
,trouve,O
,Mérignac,B-geoE
Sentence: 188,Ou,O
,se,O
,trouve,O
,Chicago,B-geoE
Sentence: 189,Ou,O
,se,O
,trouve,O
,Belfort,B-geoE
Sentence: 190,Ou,O
,se,O
,trouve,O
,Colmar,B-geoE
Sentence: 191,Ou,O
,se,O
,trouve,O
,Annemasse,B-geoE
Sentence: 192,Ou,O
,se,O
,trouve,O
,Caen,B-geoE
Sentence: 193,Ou,O
,se,O
,trouve,O
,Roubaix,B-geoE
Sentence: 194,Ou,O
,se,O
,trouve,O
,Toronto,B-geoE
Sentence: 195,Ou,O
,se,O
,trouve,O
,Créteil,B-geoE
Sentence: 196,Ou,O
,se,O
,trouve,O
,Athenes,B-geoE
Sentence: 197,Ou,O
,se,O
,trouve,O
,Saint-Maur-des-Fossés,B-geoE
Sentence: 198,Ou,O
,se,O
,trouve,O
,Madrid,B-geoE
Sentence: 199,Ou,O
,se,O
,trouve,O
,Chicago,B-geoE
Sentence: 200,Hugo,O
,reside,O
,sur,O
,Sartrouville,O
Sentence: 201,Hugo,O
,reside,O
,sur,O
,Châteauroux,O
Sentence: 202,Hugo,O
,reside,O
,sur,O
,Nanterre,O
Sentence: 203,Hugo,O
,reside,O
,sur,O
,Brest,O
Sentence: 204,Hugo,O
,reside,O
,sur,O
,Oslo,O
Sentence: 205,Hugo,O
,reside,O
,sur,O
,Béthune,O
Sentence: 206,Hugo,O
,reside,O
,sur,O
,Tourcoing,O
Sentence: 207,Hugo,O
,reside,O
,sur,O
,Albi,O
Sentence: 208,Hugo,O
,reside,O
,sur,O
,Valence,O
Sentence: 209,Hugo,O
,reside,O
,sur,O
,Toulon,O
Sentence: 210,Hugo,O
,reside,O
,sur,O
,Tourcoing,O
Sentence: 211,Hugo,O
,reside,O
,sur,O
,Rennes,O
Sentence: 212,Hugo,O
,reside,O
,sur,O
,La Ciotat,O
Sentence: 213,Hugo,O
,reside,O
,sur,O
,Ales,O
Sentence: 214,Hugo,O
,reside,O
,sur,O
,Nanterre,O
Sentence: 215,Hugo,O
,reside,O
,sur,O
,Marseille,O
Sentence: 216,Hugo,O
,reside,O
,sur,O
,Issy-les-Moulineaux,O
Sentence: 217,Hugo,O
,reside,O
,sur,O
,Washington,O
Sentence: 218,Hugo,O
,reside,O
,sur,O
,Créteil,O
Sentence: 219,Hugo,O
,reside,O
,sur,O
,Béziers,O
Sentence: 220,Hugo,O
,reside,O
,sur,O
,Saint-Etienne,O
Sentence: 221,Hugo,O
,reside,O
,sur,O
,Brive-la-Gaillarde,O
Sentence: 222,Hugo,O
,reside,O
,sur,O
,Jakarta,O
Sentence: 223,Hugo,O
,reside,O
,sur,O
,Meaux,O
Sentence: 224,Hugo,O
,reside,O
,sur,O
,Neuilly-sur-Seine,O
Sentence: 225,Hugo,O
,reside,O
,sur,O
,Asnières-sur-Seine,O
Sentence: 226,Hugo,O
,reside,O
,sur,O
,Nantes,O
Sentence: 227,Hugo,O
,reside,O
,sur,O
,Montpellier,O
Sentence: 228,Hugo,O
,reside,O
,sur,O
,Caen,O
Sentence: 229,Hugo,O
,reside,O
,sur,O
,Bondy,O
Sentence: 230,Hugo,O
,reside,O
,sur,O
,Rouen,O
Sentence: 231,Hugo,O
,reside,O
,sur,O
,Toronto,O
Sentence: 232,Hugo,O
,reside,O
,sur,O
,Caen,O
Sentence: 233,Hugo,O
,reside,O
,sur,O
,Dublin,O
Sentence: 234,Hugo,O
,reside,O
,sur,O
,Strasbourg,O
Sentence: 235,Hugo,O
,reside,O
,sur,O
,Clermont-Ferrand,O
Sentence: 236,Hugo,O
,reside,O
,sur,O
,Bastia,O
Sentence: 237,Hugo,O
,reside,O
,sur,O
,Le Havre,O
Sentence: 238,Hugo,O
,reside,O
,sur,O
,Vitry-sur-Seine,O
Sentence: 239,Hugo,O
,reside,O
,sur,O
,Belfort,O
Sentence: 240,Hugo,O
,reside,O
,sur,O
,Wuhan,O
Sentence: 241,Hugo,O
,reside,O
,sur,O
,Albertville,O
Sentence: 242,Hugo,O
,reside,O
,sur,O
,Gagny,O
Sentence: 243,Hugo,O
,reside,O
,sur,O
,Saint-Etienne,O
Sentence: 244,Hugo,O
,reside,O
,sur,O
,Alençon,O
Sentence: 245,Hugo,O
,reside,O
,sur,O
,Rennes,O
Sentence: 246,Hugo,O
,reside,O
,sur,O
,Villeurbanne,O
Sentence: 247,Hugo,O
,reside,O
,sur,O
,Grenoble,O
Sentence: 248,Hugo,O
,reside,O
,sur,O
,Bastia,O
Sentence: 249,Hugo,O
,reside,O
,sur,O
,Reims,O
Sentence: 250,Hugo,O
,reside,O
,sur,O
,Issy-les-Moulineaux,O
Sentence: 251,Hugo,O
,reside,O
,sur,O
,Beauvais,O
Sentence: 252,Hugo,O
,reside,O
,sur,O
,Delhi,O
Sentence: 253,Hugo,O
,reside,O
,sur,O
,Lima,O
Sentence: 254,Hugo,O
,reside,O
,sur,O
,Nancy,O
Sentence: 255,Hugo,O
,reside,O
,sur,O
,Alençon,O
Sentence: 256,Hugo,O
,reside,O
,sur,O
,Abbeville,O
Sentence: 257,Hugo,O
,reside,O
,sur,O
,Lima,O
Sentence: 258,Hugo,O
,reside,O
,sur,O
,Istanbul,O
Sentence: 259,Hugo,O
,reside,O
,sur,O
,Villeneuve-d'Ascq,O
Sentence: 260,Hugo,O
,reside,O
,sur,O
,Rome,O
Sentence: 261,Hugo,O
,reside,O
,sur,O
,Maisons-Alfort,O
Sentence: 262,Hugo,O
,reside,O
,sur,O
,Madrid,O
Sentence: 263,Hugo,O
,reside,O
,sur,O
,Clermont-Ferrand,O
Sentence: 264,Hugo,O
,reside,O
,sur,O
,Beauvais,O
Sentence: 265,Hugo,O
,reside,O
,sur,O
,Alpes-Maritimes,O
Sentence: 266,Hugo,O
,reside,O
,sur,O
,Londres,O
Sentence: 267,Hugo,O
,reside,O
,sur,O
,Pau,O
Sentence: 268,Hugo,O
,reside,O
,sur,O
,Beziers,O
Sentence: 269,Hugo,O
,reside,O
,sur,O
,Alpes-Maritimes,O
Sentence: 270,Hugo,O
,reside,O
,sur,O
,Mérignac,O
Sentence: 271,Hugo,O
,reside,O
,sur,O
,Boulogne-Billancourt,O
Sentence: 272,Hugo,O
,reside,O
,sur,O
,Caen,O
Sentence: 273,Hugo,O
,reside,O
,sur,O
,Nanterre,O
Sentence: 274,Hugo,O
,reside,O
,sur,O
,Villeurbanne,O
Sentence: 275,Hugo,O
,reside,O
,sur,O
,La Ciotat,O
Sentence: 276,Hugo,O
,reside,O
,sur,O
,Angers,O
Sentence: 277,Hugo,O
,reside,O
,sur,O
,Alençon,O
Sentence: 278,Hugo,O
,reside,O
,sur,O
,Alpes-Maritimes,O
Sentence: 279,Hugo,O
,reside,O
,sur,O
,Metz,O
Sentence: 280,Hugo,O
,reside,O
,sur,O
,Vitry-sur-Seine,O
Sentence: 281,Hugo,O
,reside,O
,sur,O
,Zurich,O
Sentence: 282,Hugo,O
,reside,O
,sur,O
,Albi,O
Sentence: 283,Hugo,O
,reside,O
,sur,O
,Thonon-les-Bains,O
Sentence: 284,Hugo,O
,reside,O
,sur,O
,Sartrouville,O
Sentence: 285,Hugo,O
,reside,O
,sur,O
,Dublin,O
Sentence: 286,Hugo,O
,reside,O
,sur,O
,Nantes,O
Sentence: 287,Hugo,O
,reside,O
,sur,O
,Boulogne-Billancourt,O
Sentence: 288,Hugo,O
,reside,O
,sur,O
,Vitry-sur-Seine,O
Sentence: 289,Hugo,O
,reside,O
,sur,O
,Strasbourg,O
Sentence: 290,Hugo,O
,reside,O
,sur,O
,Shanghai,O
Sentence: 291,Hugo,O
,reside,O
,sur,O
,Saint-Denis,O
Sentence: 292,Hugo,O
,reside,O
,sur,O
,Ibiza,O
Sentence: 293,Hugo,O
,reside,O
,sur,O
,Arles,O
Sentence: 294,Hugo,O
,reside,O
,sur,O
,Gagny,O
Sentence: 295,Hugo,O
,reside,O
,sur,O
,Auch,O
Sentence: 296,Hugo,O
,reside,O
,sur,O
,Troyes,O
Sentence: 297,Hugo,O
,reside,O
,sur,O
,Villeneuve-d'Ascq,O
Sentence: 298,Hugo,O
,reside,O
,sur,O
,Toulouse,O
Sentence: 299,Hugo,O
,reside,O
,sur,O
,Champigny-sur-Marne,O
Sentence: 300,Emmene,O
,moi,O
,a,O
,Bobigny,B-geoE
,depuis,O
,Pekin,B-geoS
Sentence: 301,Emmene,O
,moi,O
,a,O
,Blois,B-geoE
,depuis,O
,Auckland,B-geoS
Sentence: 302,Emmene,O
,moi,O
,a,O
,Colombes,B-geoE
,depuis,O
,Cotonou,B-geoS
Sentence: 303,Emmene,O
,moi,O
,a,O
,Meaux,B-geoE
,depuis,O
,Bondy,B-geoS
Sentence: 304,Emmene,O
,moi,O
,a,O
,Bayonne,B-geoE
,depuis,O
,Moscou,B-geoS
Sentence: 305,Emmene,O
,moi,O
,a,O
,Neuilly-sur-Seine,B-geoE
,depuis,O
,Alpes-Maritimes,B-geoS
Sentence: 306,Emmene,O
,moi,O
,a,O
,Quimper,B-geoE
,depuis,O
,Nantes,B-geoS
Sentence: 307,Emmene,O
,moi,O
,a,O
,Aulnay-sous-Bois,B-geoE
,depuis,O
,Besançon,B-geoS
Sentence: 308,Emmene,O
,moi,O
,a,O
,Épinay-sur-Seine,B-geoE
,depuis,O
,Montreuil,B-geoS
Sentence: 309,Emmene,O
,moi,O
,a,O
,Rambouillet,B-geoE
,depuis,O
,Albertville,B-geoS
Sentence: 310,Emmene,O
,moi,O
,a,O
,Alfortville,B-geoE
,depuis,O
,Angers,B-geoS
Sentence: 311,Emmene,O
,moi,O
,a,O
,Auxerre,B-geoE
,depuis,O
,Brive-la-Gaillarde,B-geoS
Sentence: 312,Emmene,O
,moi,O
,a,O
,Ajaccio,B-geoE
,depuis,O
,Autun,B-geoS
Sentence: 313,Emmene,O
,moi,O
,a,O
,Montpellier,B-geoE
,depuis,O
,Rome,B-geoS
Sentence: 314,Emmene,O
,moi,O
,a,O
,Avignon,B-geoE
,depuis,O
,Calais,B-geoS
Sentence: 315,Emmene,O
,moi,O
,a,O
,Perpignan,B-geoE
,depuis,O
,Épinay-sur-Seine,B-geoS
Sentence: 316,Emmene,O
,moi,O
,a,O
,Moscou,B-geoE
,depuis,O
,Sète,B-geoS
Sentence: 317,Emmene,O
,moi,O
,a,O
,Wuhan,B-geoE
,depuis,O
,Arles,B-geoS
Sentence: 318,Emmene,O
,moi,O
,a,O
,Châteauroux,B-geoE
,depuis,O
,La Rochelle,B-geoS
Sentence: 319,Emmene,O
,moi,O
,a,O
,Béziers,B-geoE
,depuis,O
,Angers,B-geoS
Sentence: 320,Emmene,O
,moi,O
,a,O
,Gagny,B-geoE
,depuis,O
,Châteauroux,B-geoS
Sentence: 321,Emmene,O
,moi,O
,a,O
,Istanbul,B-geoE
,depuis,O
,Lyon,B-geoS
Sentence: 322,Emmene,O
,moi,O
,a,O
,Asnières-sur-Seine,B-geoE
,depuis,O
,Colmar,B-geoS
Sentence: 323,Emmene,O
,moi,O
,a,O
,Arras,B-geoE
,depuis,O
,Nanterre,B-geoS
Sentence: 324,Emmene,O
,moi,O
,a,O
,Belfort,B-geoE
,depuis,O
,Strasbourg,B-geoS
Sentence: 325,Emmene,O
,moi,O
,a,O
,Boulogne-Billancourt,B-geoE
,depuis,O
,Aulnay-sous-Bois,B-geoS
Sentence: 326,Emmene,O
,moi,O
,a,O
,Valence,B-geoE
,depuis,O
,Villeurbanne,B-geoS
Sentence: 327,Emmene,O
,moi,O
,a,O
,Moulins,B-geoE
,depuis,O
,Pau,B-geoS
Sentence: 328,Emmene,O
,moi,O
,a,O
,Châteauroux,B-geoE
,depuis,O
,Oslo,B-geoS
Sentence: 329,Emmene,O
,moi,O
,a,O
,Saint-Denis,B-geoE
,depuis,O
,Wuhan,B-geoS
Sentence: 330,Emmene,O
,moi,O
,a,O
,Nice,B-geoE
,depuis,O
